code,binned,age,sex,population_2015,population_2016,population_2017,population_2018
E06000034,"(25, 35]",610,30,24371,24664,24871,25057
E06000034,"(35, 45]",810,30,24509,24721,24960,25224
E06000034,"(45, 55]",1010,30,22958,23373,23831,24105
E06000034,"(55, 65]",1210,30,16391,16445,16687,17099
E06000034,"(65, 90]",3900,75,21309,21812,22040,22264
E06000035,"(15, 18]",102,9,10720,10567,10238,9846
E06000035,"(18, 25]",308,21,26950,26202,25001,23724
E06000035,"(25, 35]",610,30,37598,38151,39029,39663
E06000035,"(35, 45]",810,30,35839,35902,35550,35483
E06000035,"(45, 55]",1010,30,38838,39070,38960,38717
E06000035,"(55, 65]",1210,30,29487,29927,30462,30934
E06000035,"(65, 90]",3900,75,39751,40524,41100,41581
E06000036,"(15, 18]",102,9,4759,4821,4674,4570
E06000036,"(18, 25]",308,21,8719,8535,8601,8814
E06000036,"(25, 35]",610,30,16915,16683,16434,16345
E06000036,"(35, 45]",810,30,17942,18120,18108,18042
E06000036,"(45, 55]",1010,30,18125,18098,18245,18322
E06000036,"(55, 65]",1210,30,12652,13020,13396,13828
E06000036,"(65, 90]",3900,75,15244,15556,16021,16478
E06000037,"(15, 18]",102,9,6163,6258,6204,6001
E06000037,"(18, 25]",308,21,10362,10413,10173,10020
E06000037,"(25, 35]",610,30,17649,17655,17378,17167
E06000037,"(35, 45]",810,30,22149,21773,21194,20687
E06000037,"(45, 55]",1010,30,24500,24714,24876,24916
E06000037,"(55, 65]",1210,30,18968,19253,19514,19835
E06000037,"(65, 90]",3900,75,26044,26783,27574,28258
E06000038,"(15, 18]",102,9,5026,5101,5135,5084
E06000038,"(18, 25]",308,21,20251,20203,19853,20124
E06000038,"(25, 35]",610,30,28589,28095,27643,26937
E06000038,"(35, 45]",810,30,23445,23862,23857,23573
E06000038,"(45, 55]",1010,30,19529,19850,20088,20300
E06000038,"(55, 65]",1210,30,13325,13654,14053,14456
E06000038,"(65, 90]",3900,75,18333,18550,18674,18853
E06000039,"(15, 18]",102,9,5336,5293,5332,5357
E06000039,"(18, 25]",308,21,11324,11310,11052,10849
E06000039,"(25, 35]",610,30,26152,25312,24127,22861
E06000039,"(35, 45]",810,30,23427,24297,25164,25698
E06000039,"(45, 55]",1010,30,17505,17813,18147,18271
E06000039,"(55, 65]",1210,30,12349,12652,12855,13188
E06000039,"(65, 90]",3900,75,12914,13197,13547,13812
E06000040,"(15, 18]",102,9,5712,5891,5816,5859
E06000040,"(18, 25]",308,21,9018,8808,8700,8810
E06000040,"(25, 35]",610,30,18412,18275,17917,17312
E06000040,"(35, 45]",810,30,21677,21808,21598,21598
E06000040,"(45, 55]",1010,30,22204,22609,22938,23080
E06000040,"(55, 65]",1210,30,16039,16220,16644,17060
E06000040,"(65, 90]",3900,75,25423,25826,26145,26610
E06000041,"(15, 18]",102,9,5931,5932,6032,6075
E06000041,"(18, 25]",308,21,10372,10427,10757,10795
E06000041,"(25, 35]",610,30,18431,18064,17703,18083
E06000041,"(35, 45]",810,30,24139,24396,24497,24779
E06000041,"(45, 55]",1010,30,24806,24969,25089,25457
E06000041,"(55, 65]",1210,30,18131,18404,18910,19383
E06000041,"(65, 90]",3900,75,26063,26724,27273,27964
E06000042,"(15, 18]",102,9,9395,9408,9323,9287
E06000042,"(18, 25]",308,21,18821,18629,18432,18069
E06000042,"(25, 35]",610,30,40523,39937,38895,37562
E06000042,"(35, 45]",810,30,40366,41297,41956,42405
E06000042,"(45, 55]",1010,30,35476,35732,35875,36208
E06000042,"(55, 65]",1210,30,27723,28092,28284,28540
E06000042,"(65, 90]",3900,75,30973,32152,33410,34491
E06000043,"(15, 18]",102,9,8921,8853,8962,8967
E06000043,"(18, 25]",308,21,43146,44308,44497,45373
E06000043,"(25, 35]",610,30,45434,46407,47055,48035
E06000043,"(35, 45]",810,30,41242,40619,39949,39137
E06000043,"(45, 55]",1010,30,39205,39764,40193,40374
E06000043,"(55, 65]",1210,30,24759,25359,25863,26784
E06000043,"(65, 90]",3900,75,35790,36182,36255,36349
E06000044,"(15, 18]",102,9,7159,7041,6909,6808
E06000044,"(18, 25]",308,21,32818,33558,33873,33503
E06000044,"(25, 35]",610,30,31772,32564,32978,33599
E06000044,"(35, 45]",810,30,25846,25741,25535,25174
E06000044,"(45, 55]",1010,30,26587,26857,26855,26712
