Constituency,ONSConstID,Constituency,Region,CON_GE19,LAB_GE19,LIBDEM_GE19,GRN_GE19,SNP_GE19,PC_GE19,BXP_GE19,UKIP_GE19,OTHER_GE19,Registered Voters_GE19,Turnout_GE19,Winner_GE19
Stone,E14000975,Stone,West Midlands,31687,11742,4412,2002,,,,,0,"69,378",0.72,Conservative
Stourbridge,E14000976,Stourbridge,West Midlands,27534,13963,2523,1048,,,,,621,"69,891",0.65,Conservative
Streatham,E14000978,Streatham,London,9060,30976,13286,2567,,,624,,0,"84,788",0.67,Labour
Stretford & Urmston,E14000979,Stretford & Urmston,North West,13778,30195,2969,1357,,,1768,,0,"72,356",0.69,Labour
Sutton & Cheam,E14000984,Sutton & Cheam,London,25235,7200,16884,1168,,,,,0,"71,760",0.70,Conservative
Tatton,E14000987,Tatton,North West,28277,10890,7712,2088,,,,,0,"69,018",0.71,Conservative
Taunton Deane,E14000988,Taunton Deane,South West,34164,4715,22464,,,,,,2390,"88,675",0.72,Conservative
Thornbury & Yate,E14000994,Thornbury & Yate,South West,30202,4208,17833,,,,,,0,"69,492",0.75,Conservative
Tottenham,E14001002,Tottenham,London,5446,35621,3168,1873,,,527,,221,"75,740",0.62,Labour
Vauxhall,E14001008,Vauxhall,London,9422,31615,12003,2516,,,641,,136,"88,647",0.64,Labour
Wakefield,E14001009,Wakefield,Yorkshire and The Humber,21283,17925,1772,,,,2725,,1322,"70,192",0.64,Conservative
Warrington North,E14001017,Warrington North,North West,19102,20611,3071,1257,,,2626,,0,"72,235",0.65,Labour
Warrington South,E14001018,Warrington South,North West,28187,26177,5732,,,,1635,,168,"86,015",0.72,Conservative
Warwick & Leamington,E14001019,Warwick & Leamington,West Midlands,22929,23718,4995,1536,,,807,,220,"76,373",0.71,Labour
Waveney,E14001022,Waveney,East,31778,13776,2603,2727,,,,,245,"82,791",0.62,Conservative
Wentworth & Dearne,E14001028,Wentworth & Dearne,Yorkshire and The Humber,14577,16742,1705,,,,7019,,1514,"74,536",0.56,Labour
West Ham,E14001032,West Ham,London,9793,42181,4161,1780,,,1679,,606,"97,942",0.61,Labour
Lancashire West,E14001033,Lancashire West,North West,19122,27458,2560,1248,,,2275,,0,"73,346",0.72,Labour
Windsor,E14001042,Windsor,South East,31501,8147,11422,1796,,,,,884,"75,038",0.72,Conservative
Witham,E14001045,Witham,East,32876,8794,4584,3090,,,,,0,"70,402",0.70,Conservative
Witney,E14001046,Witney,South East,33856,8770,18679,,,,,,0,"83,845",0.73,Conservative
Woking,E14001047,Woking,South East,26396,8827,16629,1485,,,,600,0,"75,455",0.71,Conservative
Wyre & Preston North,E14001057,Wyre & Preston North,North West,31589,14808,4463,1729,,,,,335,"75,168",0.70,Conservative
Wythenshawe & Sale East,E14001059,Wythenshawe & Sale East,North West,13459,23855,3111,1559,,,2717,,58,"76,313",0.59,Labour
Fermanagh & South Tyrone,N06000007,Fermanagh & South Tyrone,Northern Ireland,,,,,,,,,50762,"72,848",0.70,OTHER
Newry & Armagh,N06000011,Newry & Armagh,Northern Ireland,,,,,,,,,50779,"81,226",0.63,OTHER
Upper Bann,N06000017,Upper Bann,Northern Ireland,,,,,,,,,50045,"82,887",0.60,OTHER
Tyrone West,N06000018,Tyrone West,Northern Ireland,,,,521,,,,,40665,"66,259",0.62,OTHER
"Berwickshire, Roxburgh & Selkirk",S14000008,"Berwickshire, Roxburgh & Selkirk",Scotland,25747,2513,4287,,20599,,,,0,"74,518",0.71,Conservative
"Caithness, Sutherland & Easter Ross",S14000009,"Caithness, Sutherland & Easter Ross",Scotland,5176,1936,11705,,11501,,1139,,0,"46,930",0.67,Liberal Democrat
Ayrshire Central,S14000010,Ayrshire Central,Scotland,16182,6583,2283,,21486,,,,0,"69,742",0.67,SNP
"Coatbridge, Chryston & Bellshill",S14000011,"Coatbridge, Chryston & Bellshill",Scotland,6113,17056,1564,808,22680,,,,0,"72,943",0.66,SNP
"Cumbernauld, Kilsyth & Kirkintilloch East",S14000012,"Cumbernauld, Kilsyth & Kirkintilloch East",Scotland,7380,11182,2966,,24158,,,,0,"66,079",0.69,SNP
"Inverness, Nairn, Badenoch & Strathspey",S14000039,"Inverness, Nairn, Badenoch & Strathspey",Scotland,15807,4123,5846,1709,26247,,1078,,0,"78,057",0.70,SNP
Motherwell & Wishaw,S14000047,Motherwell & Wishaw,Scotland,7150,14354,1675,,20622,,,619,0,"68,856",0.65,SNP
Fife North East,S14000049,Fife North East,Scotland,5961,1707,19763,,18447,,,,0,"60,905",0.75,Liberal Democrat
Monmouth,W07000054,Monmouth,Wales,26160,16178,4909,1353,,1182,,,435,"67,094",0.75,Conservative
Ceredigion,W07000064,Ceredigion,Wales,8879,6317,6975,663,,15208,2063,,0,"56,250",0.71,Plaid Cymru
Merthyr Tydfil & Rhymney,W07000071,Merthyr Tydfil & Rhymney,Wales,6307,16913,1116,,,2446,3604,,1860,"56,322",0.57,Labour
Cardiff West,W07000079,Cardiff West,Wales,12922,23908,2731,1133,,3864,1619,,0,"68,508",0.67,Labour
Cardiff South & Penarth,W07000080,Cardiff South & Penarth,Wales,14645,27382,2985,1182,,2386,1999,,0,"78,837",0.64,Labour
Beverley & Holderness,E14000556,Beverley & Holderness,Yorkshire and The Humber,33250,12802,4671,1378,,,,,1441,"79,683",0.67,Conservative
Bognor Regis & Littlehampton,E14000576,Bognor Regis & Littlehampton,South East,32521,10018,5645,1826,,,,846,367,"77,488",0.66,Conservative
"Chester, City of",E14000640,"Chester, City of",North West,20918,27082,3734,1438,,,1388,,0,"76,057",0.72,Labour
Derbyshire Dales,E14000664,Derbyshire Dales,East Midlands,29356,11975,6627,2058,,,,,0,"65,060",0.77,Conservative
Yorkshire East,E14000683,Yorkshire East,Yorkshire and The Humber,33988,11201,4219,1675,,,,,1686,"80,871",0.65,Conservative
Elmet & Rothwell,E14000689,Elmet & Rothwell,Yorkshire and The Humber,33726,16373,5155,1775,,,,,1196,"80,957",0.72,Conservative
Kensington,E14000768,Kensington,London,16768,16618,9312,535,,,384,,145,"64,609",0.68,Conservative
Mansfield,E14000810,Mansfield,East Midlands,31484,15178,1626,,,,,,985,"77,131",0.64,Conservative
Dorset North,E14000839,Dorset North,South West,35705,6737,11404,2261,,,,,0,"75,956",0.74,Conservative
Dorset South,E14000936,Dorset South,South West,30024,12871,5432,2246,,,,,485,"72,924",0.70,Conservative
Uxbridge & Ruislip South,E14001007,Uxbridge & Ruislip South,London,25351,18141,3026,1090,,,,283,296,"70,369",0.68,Conservative
Weaver Vale,E14001024,Weaver Vale,North West,22210,22772,3300,1051,,,1380,,0,"70,551",0.72,Labour
Dorset West,E14001031,Dorset West,South West,33589,5729,19483,2124,,,,,0,"80,963",0.75,Conservative
Preseli Pembrokeshire,W07000065,Preseli Pembrokeshire,Wales,21381,16319,1943,,,2776,,,0,"59,586",0.71,Conservative
Carmarthen West & Pembrokeshire South,W07000066,Carmarthen West & Pembrokeshire South,Wales,22183,14438,1860,,,3633,,,0,"58,629",0.72,Conservative
Arundel & South Downs,E14000534,Arundel & South Downs,South East,35566,9722,13045,2519,,,,,556,"81,726",0.75,Conservative
Ashfield,E14000535,Ashfield,East Midlands,19231,11971,1105,674,,,2501,,13498,"78,204",0.63,Conservative
Ashton Under Lyne,E14000537,Ashton Under Lyne,North West,14281,18544,1395,1208,,,3151,,0,"68,497",0.56,Labour
Basingstoke,E14000545,Basingstoke,South East,29593,15395,6841,2138,,,,,746,"82,926",0.66,Conservative
Bermondsey & Old Southwark,E14000553,Bermondsey & Old Southwark,London,9678,31723,15597,,,,1617,,0,"93,313",0.63,Labour
Bethnal Green & Bow,E14000555,Bethnal Green & Bow,London,6528,44052,5892,2570,,,1081,,439,"88,169",0.69,Labour
Blyth Valley,E14000575,Blyth Valley,North East,"17,440","16,728","2,151","1,146",,,"3,394",,0,"64,429",0.63,Conservative
Bolsover,E14000577,Bolsover,East Midlands,21791,16492,1759,758,,,4151,,987,"75,157",0.61,Conservative
Bradford East,E14000587,Bradford East,Yorkshire and The Humber,9681,27825,3316,662,,,2700,,0,"73,206",0.60,Labour
Bradford South,E14000588,Bradford South,Yorkshire and The Humber,16044,18390,1505,983,,,2819,,0,"69,046",0.58,Labour
Bradford West,E14000589,Bradford West,Yorkshire and The Humber,6717,33736,1349,813,,,1556,,90,"70,694",0.63,Labour
Bridgwater & Somerset West,E14000595,Bridgwater & Somerset West,South West,35827,11388,7805,1877,,,,,755,"85,327",0.68,Conservative
Broadland,E14000603,Broadland,East,33934,12073,9195,1412,,,,,363,"78,151",0.73,Conservative
Broxtowe,E14000607,Broxtowe,East Midlands,26602,21271,,1806,,,,,5593,"73,052",0.76,Conservative
Buckingham,E14000608,Buckingham,South East,37035,7638,16624,,,,1286,,875,"83,146",0.76,Conservative
Calder Valley,E14000614,Calder Valley,Yorkshire and The Humber,29981,24207,2884,,,,,,721,"79,287",0.73,Conservative
Camberwell & Peckham,E14000615,Camberwell & Peckham,London,6478,40258,5087,3501,,,1041,,127,"89,042",0.63,Labour
Camborne & Redruth,E14000616,Camborne & Redruth,South West,26764,18064,3504,1359,,,,,676,"70,250",0.72,Conservative
Cheadle,E14000627,Cheadle,North West,25694,6851,23358,,,,,,0,"74,639",0.75,Conservative
Colne Valley,E14000645,Colne Valley,Yorkshire and The Humber,29482,24379,3815,1068,,,1286,230,650,"84,174",0.72,Conservative
Corby,E14000648,Corby,East Midlands,33410,23142,3932,,,,,,0,"86,151",0.70,Conservative
Denton & Reddish,E14000661,Denton & Reddish,North West,13142,19317,1642,1124,,,3039,,324,"66,234",0.58,Labour
Derby North,E14000662,Derby North,East Midlands,21259,18719,3450,1046,,,1908,,635,"73,212",0.64,Conservative
Derby South,E14000663,Derby South,East Midlands,15671,21690,2621,,,,2480,,0,"73,079",0.58,Labour
Dewsbury,E14000666,Dewsbury,Yorkshire and The Humber,26179,24618,2406,1060,,,1874,,252,"81,252",0.69,Conservative
Dudley North,E14000671,Dudley North,West Midlands,23134,11601,1210,739,,,,,0,"61,936",0.59,Conservative
Worthing East & Shoreham,E14000682,Worthing East & Shoreham,South East,27104,19663,4127,2006,,,,,255,"75,195",0.71,Conservative
Eddisbury,E14000686,Eddisbury,North West,30095,11652,9582,1191,,,,451,0,"73,700",0.72,Conservative
Enfield Southgate,E14000692,Enfield Southgate,London,18473,22923,4344,1042,,,494,,0,"65,055",0.73,Labour
Faversham & Kent Mid,E14000700,Faversham & Kent Mid,South East,31864,9888,6170,2103,,,,,369,"73,404",0.69,Conservative
Filton & Bradley Stoke,E14000702,Filton & Bradley Stoke,South West,26293,20647,4992,1563,,,,,257,"74,016",0.73,Conservative
Gravesham,E14000715,Gravesham,South East,29580,13999,2584,1397,,,,,0,"73,234",0.65,Conservative
Halesowen & Rowley Regis,E14000722,Halesowen & Rowley Regis,West Midlands,25607,13533,1738,934,,,,,533,"68,300",0.62,Conservative
Halifax,E14000723,Halifax,Yorkshire and The Humber,18927,21496,2276,946,,,2813,,0,"71,904",0.65,Labour
Hampstead & Kilburn,E14000727,Hampstead & Kilburn,London,13892,28080,13121,1608,,,684,,0,"82,432",0.70,Labour
Hazel Grove,E14000738,Hazel Grove,North West,21592,5508,17169,,,,,,0,"65,457",0.68,Conservative
Hemsworth,E14000740,Hemsworth,Yorkshire and The Humber,15280,16460,1734,916,,,5930,,3587,"73,726",0.60,Labour
Holborn & St Pancras,E14000750,Holborn & St Pancras,London,8878,36641,7314,2746,,,1032,138,37,"87,236",0.65,Labour
Keighley,E14000766,Keighley,Yorkshire and The Humber,25298,23080,2573,,,,850,,799,"72,778",0.72,Conservative
Kingswood,E14000774,Kingswood,South West,27712,16492,3421,1200,,,,,489,"68,972",0.72,Conservative
Leeds North East,E14000779,Leeds North East,Yorkshire and The Humber,11935,29024,5665,1931,,,1769,,176,"70,580",0.72,Labour
Ludlow,E14000799,Ludlow,West Midlands,32185,7591,8537,1912,,,,,0,"69,442",0.72,Conservative
Macclesfield,E14000802,Macclesfield,North West,28292,17581,5684,2310,,,,,0,"76,216",0.71,Conservative
Maidstone & The Weald,E14000804,Maidstone & The Weald,South East,31220,9448,8482,2172,,,,,358,"76,110",0.68,Conservative
Meon Valley,E14000811,Meon Valley,South East,35271,5644,11716,2198,,,,,0,"75,737",0.72,Conservative
Derbyshire Mid,E14000814,Derbyshire Mid,East Midlands,29027,13642,4756,1931,,,,,0,"67,437",0.73,Conservative
Norfolk Mid,E14000816,Norfolk Mid,East,35051,12457,7739,,,,,,939,"81,975",0.69,Conservative
Milton Keynes North,E14000821,Milton Keynes North,South East,30938,24683,4991,1931,,,,,0,"91,535",0.68,Conservative
Morecambe & Lunesdale,E14000825,Morecambe & Lunesdale,North West,23925,17571,2328,938,,,,,548,"67,397",0.67,Conservative
"Normanton, Pontefract & Castleford",E14000836,"Normanton, Pontefract & Castleford",Yorkshire and The Humber,17021,18297,3147,,,,8032,,1762,"84,527",0.57,Labour
Derbyshire North East,E14000843,Derbyshire North East,East Midlands,28897,16021,3021,1278,,,,,0,"72,360",0.68,Conservative
Shropshire North,E14000849,Shropshire North,West Midlands,35444,12495,5643,1790,,,,,1141,"83,257",0.68,Conservative
Thanet North,E14000852,Thanet North,South East,30066,12877,3439,1796,,,,,0,"72,811",0.66,Conservative
Northampton North,E14000861,Northampton North,East Midlands,21031,15524,2031,953,,,,,0,"59,265",0.67,Conservative
Northampton South,E14000862,Northampton South,East Midlands,20914,16217,2482,1222,,,,,0,"62,172",0.66,Conservative
Oxford West & Abingdon,E14000874,Oxford West & Abingdon,South East,22397,4258,31340,,,,829,,0,"76,953",0.76,Liberal Democrat
Poplar & Limehouse,E14000882,Poplar & Limehouse,London,9756,38660,8832,2159,,,1493,,376,"91,760",0.67,Labour
Pudsey,E14000886,Pudsey,Yorkshire and The Humber,26453,22936,3088,894,,,,,844,"73,212",0.74,Conservative
Somerton & Frome,E14000932,Somerton & Frome,South West,36230,8354,17017,3295,,,,,0,"85,866",0.76,Conservative
Cambridgeshire South East,E14000937,Cambridgeshire South East,East,32187,10492,20697,,,,,,1009,"86,769",0.74,Conservative
Thanet South,E14000948,Thanet South,South East,27084,16497,2727,1949,,,,,0,"73,302",0.66,Conservative
Hertfordshire South West,E14000951,Hertfordshire South West,East,30327,7228,6251,1466,,,,,15919,"80,449",0.76,Conservative
Southampton Itchen,E14000955,Southampton Itchen,South East,23952,19454,2503,1040,,,,472,0,"72,293",0.66,Conservative
Stalybridge & Hyde,E14000967,Stalybridge & Hyde,North West,16079,19025,1827,1411,,,3591,,435,"73,873",0.57,Labour
Stockport,E14000969,Stockport,North West,11656,21695,5043,1403,,,1918,,0,"65,457",0.64,Labour
Stoke-on-Trent Central,E14000972,Stoke-on-Trent Central,West Midlands,14557,13887,1116,819,,,1691,,0,"55,424",0.58,Conservative
Stoke-on-Trent North,E14000973,Stoke-on-Trent North,West Midlands,20974,14688,1268,508,,,2374,,322,"84,357",0.48,Conservative
Stoke-on-Trent South,E14000974,Stoke-on-Trent South,West Midlands,24632,13361,1611,,,,,,0,"64,499",0.61,Conservative
Tewkesbury,E14000990,Tewkesbury,South West,35728,9310,13318,2784,,,,,0,"83,958",0.73,Conservative
Thirsk & Malton,E14000993,Thirsk & Malton,Yorkshire and The Humber,35634,10480,6774,2263,,,,,1437,"80,979",0.70,Conservative
Tiverton & Honiton,E14000996,Tiverton & Honiton,South West,35893,11654,8807,2291,,,,968,0,"82,953",0.72,Conservative
Devon West & Torridge,E14001000,Devon West & Torridge,South West,35904,10290,10912,2077,,,,,547,"79,831",0.75,Conservative
Wantage,E14001015,Wantage,South East,34085,10181,21432,,,,,,1475,"90,875",0.74,Conservative
Winchester,E14001041,Winchester,South East,28430,2723,27445,,,,,,292,"75,582",0.78,Conservative
Worthing West,E14001055,Worthing West,South East,30475,15652,6024,2008,,,,,489,"78,587",0.70,Conservative
York Central,E14001061,York Central,Yorkshire and The Humber,13767,27312,4149,2107,,,1479,,691,"74,801",0.66,Labour
York Outer,E14001062,York Outer,Yorkshire and The Humber,27324,17339,9992,,,,,,692,"74,673",0.74,Conservative
Argyll & Bute,S14000005,Argyll & Bute,Scotland,16930,3248,6832,,21040,,,,0,"66,525",0.72,SNP
Banff & Buchan,S14000007,Banff & Buchan,Scotland,21182,1734,2280,,17064,,,,0,"66,655",0.63,Conservative
Dumfries & Galloway,S14000013,Dumfries & Galloway,Scotland,22678,4745,3133,,20873,,,,0,"74,580",0.69,Conservative
"Dumfriesshire, Clydesdale & Tweeddale",S14000014,"Dumfriesshire, Clydesdale & Tweeddale",Scotland,22611,4172,3540,,18830,,,,0,"68,330",0.72,Conservative
Edinburgh East,S14000022,Edinburgh East,Scotland,6549,12748,3289,2064,23165,,,,0,"69,424",0.69,SNP
Edinburgh North & Leith,S14000023,Edinburgh North & Leith,Scotland,11000,13117,6635,1971,25925,,558,,138,"81,336",0.73,SNP
Edinburgh South,S14000024,Edinburgh South,Scotland,8161,23745,3819,1357,12650,,,,0,"66,188",0.75,Labour
Edinburgh South West,S14000025,Edinburgh South West,Scotland,12848,7478,4971,1265,24830,,625,,114,"73,501",0.71,SNP
Edinburgh West,S14000026,Edinburgh West,Scotland,9283,4460,21766,1027,17997,,,,0,"72,507",0.75,Liberal Democrat
Gordon,S14000037,Gordon,Scotland,23066,3052,5913,,23885,,,,0,"79,629",0.70,SNP
"Ross, Skye & Lochaber",S14000055,"Ross, Skye & Lochaber",Scotland,6900,2448,9820,,19263,,710,,728,"54,229",0.74,SNP
Aberdeenshire West & Kincardine,S14000058,Aberdeenshire West & Kincardine,Scotland,22752,2431,6253,,21909,,,,0,"72,640",0.73,Conservative
Barrow & Furness,E14000543,Barrow & Furness,North West,23876,18087,2025,703,,,1355,,0,"70,158",0.66,Conservative
Chipping Barnet,E14000636,Chipping Barnet,London,25745,24533,5932,1288,,,,,71,"79,960",0.72,Conservative
Finchley & Golders Green,E14000703,Finchley & Golders Green,London,24162,13347,17600,,,,,,0,"77,573",0.71,Conservative
Hendon,E14000741,Hendon,London,26878,22648,4628,921,,,,,0,"82,661",0.67,Conservative
Chatham & Aylesford,E14000626,Chatham & Aylesford,South East,28856,10316,2866,1090,,,,,212,"73,305",0.59,Conservative
Devizes,E14000665,Devizes,South West,32150,7838,8157,2809,,,,,0,"73,379",0.69,Conservative
Devon East,E14000678,Devon East,South West,32577,2870,1771,711,,,,,26144,"86,841",0.74,Conservative
Gillingham & Rainham,E14000711,Gillingham & Rainham,South East,28173,13054,2503,1043,,,,837,348,"73,549",0.62,Conservative
Sussex Mid,E14000817,Sussex Mid,South East,33455,11218,15258,2234,,,,,597,"85,140",0.74,Conservative
Richmond Park,E14000896,Richmond Park,London,26793,3407,34559,,,,,,308,"82,696",0.79,Liberal Democrat
Rochester & Strood,E14000898,Rochester & Strood,South East,31151,14079,3717,1312,,,,1080,587,"82,056",0.63,Conservative
Skipton & Ripon,E14000928,Skipton & Ripon,Yorkshire and The Humber,34919,11225,8701,2748,,,,,1131,"78,673",0.75,Conservative
Southampton Test,E14000956,Southampton Test,South East,16043,22256,3449,1433,,,1591,,222,"70,113",0.64,Labour
Twickenham,E14001005,Twickenham,London,22045,5476,36166,,,,816,,0,"84,901",0.76,Liberal Democrat
Wansbeck,E14001014,Wansbeck,North East,"16,310","17,124","2,539","1,217",,,"3,141",,178,"63,339",0.64,Labour
Wells,E14001026,Wells,South West,33336,4304,23345,,,,,,580,"84,124",0.73,Conservative
Orkney & Shetland,S14000051,Orkney & Shetland,Scotland,2287,1550,10381,,7874,,900,,168,"34,211",0.68,Liberal Democrat
Brighton Kemptown,E14000597,Brighton Kemptown,South East,16972,25033,2964,2237,,,1327,,0,"69,833",0.70,Labour
Brighton Pavilion,E14000598,Brighton Pavilion,South East,10176,13211,,33151,,,770,177,513,"79,057",0.73,Green
Hove,E14000755,Hove,South East,15832,32876,3731,2496,,,1111,,345,"74,313",0.76,Labour
Truro & Falmouth,E14001003,Truro & Falmouth,South West,27237,22676,7150,1714,,,,,413,"76,719",0.77,Conservative
St Ives,E14000964,St Ives,South West,25365,3553,21081,954,,,,,446,"68,795",0.75,Conservative
St Austell & Newquay,E14000961,St Austell & Newquay,South West,31273,14747,5861,1609,,,,,2286,"79,930",0.70,Conservative
Cornwall North,E14000837,Cornwall North,South West,30671,4516,15919,,,,,,572,"69,935",0.74,Conservative
Cornwall South East,E14000938,Cornwall South East,South West,31807,10836,8650,1493,,,,,869,"71,825",0.75,Conservative
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Seats declared:,650,
