Constituency,ONSConstID,Constituency,Region,CON_GE19,LAB_GE19,LIBDEM_GE19,GRN_GE19,SNP_GE19,PC_GE19,BXP_GE19,UKIP_GE19,OTHER_GE19,Registered Voters_GE19,Turnout_GE19,Winner_GE19
Liverpool West Derby,E14000796,Liverpool West Derby,North West,4133,34117,1296,605,,,2012,,1826,"65,640",0.67,Labour
Luton North,E14000800,Luton North,East,14249,23496,3063,771,,,1250,,795,"68,185",0.64,Labour
Luton South,E14000801,Luton South,East,13031,21787,,995,,,1601,,4650,"69,338",0.61,Labour
Middlesbrough South & Cleveland East,E14000820,Middlesbrough South & Cleveland East,North East,28135,16509,1953,1220,,,,,0,"72,339",0.66,Conservative
Mitcham & Morden,E14000823,Mitcham & Morden,London,11482,27978,3717,1160,,,1202,,216,"70,014",0.65,Labour
New Forest East,E14000827,New Forest East,South East,32769,7518,7390,2434,,,,,675,"73,552",0.69,Conservative
New Forest West,E14000828,New Forest West,South East,32113,6595,7710,3888,,,,,0,"70,867",0.71,Conservative
Newbury,E14000830,Newbury,South East,34431,4404,18384,2454,,,,,325,"83,414",0.72,Conservative
Newcastle-under-Lyme,E14000834,Newcastle-under-Lyme,West Midlands,23485,16039,2361,933,,,1921,,0,"68,211",0.66,Conservative
Newton Abbot,E14000835,Newton Abbot,South West,29190,9329,11689,1508,,,,,840,"72,533",0.72,Conservative
Durham North,E14000840,Durham North,North East,13897,18639,2879,1126,,,4693,,961,"66,796",0.63,Labour
Somerset North,E14000850,Somerset North,South West,32801,15265,11051,2938,,,,,0,"80,194",0.77,Conservative
Cambridgeshire North West,E14000855,Cambridgeshire North West,East,40307,14324,6881,3021,,,,,0,"94,909",0.68,Conservative
Durham North West,E14000856,Durham North West,North East,19990,18846,2831,1173,,,3193,,1630,"72,166",0.66,Conservative
Norfolk North West,E14000859,Norfolk North West,East,30627,10705,3625,1645,,,,,0,"72,080",0.65,Conservative
Norwich North,E14000863,Norwich North,East,23397,18659,2663,1078,,,,488,0,"67,172",0.69,Conservative
Norwich South,E14000864,Norwich South,East,15006,27766,4776,2469,,,1656,,0,"77,845",0.66,Labour
Pendle,E14000875,Pendle,North West,24076,17890,1548,678,,,,,268,"65,289",0.68,Conservative
Peterborough,E14000878,Peterborough,East,"22,334","19,754","2,334",728,,,"2,127",,524,"72,560",0.66,Conservative
Preston,E14000885,Preston,North West,8724,20870,1737,660,,,1799,,0,"59,672",0.57,Labour
Redcar,E14000891,Redcar,North East,18811,15284,2018,491,,,2915,,1323,"65,855",0.62,Conservative
Reigate,E14000893,Reigate,South East,28665,10355,10320,3169,,,,647,0,"74,842",0.71,Conservative
Rochdale,E14000897,Rochdale,North West,14807,24475,3312,986,,,3867,,0,"78,909",0.60,Labour
Rochford & Southend East,E14000899,Rochford & Southend East,East,27063,14777,2822,,,,,,1474,"75,624",0.61,Conservative
Romford,E14000900,Romford,London,30494,12601,2708,1428,,,,,0,"72,350",0.65,Conservative
Saffron Walden,E14000910,Saffron Walden,East,39714,8305,12120,2947,,,,,0,"87,017",0.73,Conservative
Salford & Eccles,E14000911,Salford & Eccles,North West,12428,28755,3099,2060,,,4290,,0,"82,202",0.62,Labour
Sedgefield,E14000915,Sedgefield,North East,19609,15096,1955,994,,,3518,,394,"64,325",0.65,Conservative
Sevenoaks,E14000918,Sevenoaks,South East,30932,6946,10114,1974,,,,,990,"71,777",0.71,Conservative
Sheffield Central,E14000919,Sheffield Central,Yorkshire and The Humber,6695,33968,3237,4570,,,1969,,474,"89,849",0.57,Labour
Sheffield South East,E14000920,Sheffield South East,Yorkshire and The Humber,15070,19359,2125,,,,4478,,966,"67,832",0.62,Labour
Sheffield Brightside & Hillsborough,E14000921,Sheffield Brightside & Hillsborough,Yorkshire and The Humber,10095,22369,1517,1179,,,3855,585,0,"69,333",0.57,Labour
Sheffield Hallam,E14000922,Sheffield Hallam,Yorkshire and The Humber,14696,19709,18997,1630,,,1562,168,123,"72,763",0.78,Labour
Sheffield Heeley,E14000923,Sheffield Heeley,Yorkshire and The Humber,12955,21475,2916,1811,,,3538,,0,"66,940",0.64,Labour
Shrewsbury & Atcham,E14000926,Shrewsbury & Atcham,West Midlands,31021,19804,5906,1762,,,,,572,"82,237",0.72,Conservative
Sittingbourne & Sheppey,E14000927,Sittingbourne & Sheppey,South East,34742,10263,3213,1188,,,,,1988,"83,917",0.61,Conservative
