LOCAL_AUTHORITY_CODE,Total_Population,young_adults,white,christian,english_speaking,single_ethnicity_household,own_home,not_good_health,degree_educated,no_car,private_transport_to_work,professionals
E06000054,470981,0.30104823761468086,0.9386917943611314,0.6404738195383678,0.9503653013603521,0.2790176249148055,0.28142536535444107,0.1620044120675781,0.3076667545188992,0.1475843743884981,0.7042798140592602,0.29107166744699353
E06000055,157479,0.3340889896430635,0.7256269089846901,0.5927520494796131,0.8896932289384616,0.24135916534903065,0.27052495888340666,0.17117202928644454,0.3018708715107607,0.20587036920955307,0.6983643318823374,0.2896715472892758
E06000056,254381,0.32108923229329234,0.9088807733281967,0.622043312983281,0.9468120653665172,0.26959953770132206,0.30118994736242094,0.1533211993034071,0.28433031300643136,0.13237674690370596,0.7491765169126389,0.2941746617093616
E07000004,174137,0.3204086437689865,0.8610059895369737,0.6169395361123713,0.9359125286412422,0.258026726083486,0.2888645147211678,0.14409344366791665,0.33499478118807385,0.13318733250727602,0.7169657422512234,0.3244125038578546
E07000005,92635,0.26472715496302696,0.8711286230906244,0.6320829060290387,0.9473309224375236,0.2559615696011227,0.3095482269120743,0.1340637987801587,0.4273798396918458,0.10875331564986737,0.651490454393212,0.40513564809646085
E07000006,66867,0.28789986091794156,0.7877428327874736,0.6226838350755979,0.9412116589648107,0.240013758655241,0.2969327171848595,0.14274604812538322,0.3900081996017336,0.10224786905031304,0.700365371259474,0.3972280097834949
E07000007,171644,0.33446552166111254,0.7682528955279532,0.5720095080515486,0.9181911398009834,0.2442264221295239,0.2794504905502086,0.14238773274917854,0.35469263166029136,0.13686800960787493,0.7121134916039374,0.3375564562825709
E07000008,123867,0.4757037790533395,0.6741827928342496,0.448174251414824,0.8942575504371625,0.18014483276417448,0.18323685888896962,0.13340114800552205,0.5057613791017692,0.336130496210986,0.35302925786967715,0.4663761629961135
E07000009,83818,0.3254193609964447,0.9036841728507004,0.623290939893579,0.9378653749791215,0.2754300985468515,0.28901906511727793,0.16055023980529243,0.30724214754149803,0.130294100652915,0.750882306063435,0.30847696896559573
E07000010,95262,0.30232411664672165,0.9084524784279145,0.6638743675337491,0.9227498897776658,0.28530788772018223,0.3006550355860679,0.22719447418697908,0.15974008207934337,0.1812900049236829,0.7591544233274925,0.1863009390304174
E07000011,169508,0.3224272600703212,0.9015739670104066,0.608053897161196,0.9411827170399037,0.2760105717724237,0.2944167826887227,0.15552658281615028,0.2942134412855947,0.13616892388905716,0.7382207189491072,0.29218685035565395
E07000012,148755,0.31721958925750393,0.8800107559409768,0.5879667910322343,0.9440556619945548,0.2660818123760546,0.29166750697455546,0.13826089879331788,0.4174875020720823,0.10958972648432289,0.6886490857857693,0.39198119763959616
E07000026,96422,0.27979091908485615,0.9782622223144096,0.7541432453174587,0.9636390035469083,0.29300367136130756,0.3050859762294912,0.20988985916077244,0.23683425235160557,0.2079348211122919,0.7173365743554128,0.23215990971438494
E07000027,69087,0.30448564853011423,0.9740616903324794,0.7067899894336127,0.9625689348213122,0.28540825336170333,0.332537235659386,0.24149261076613546,0.19663074987693485,0.2992890084550346,0.6511501423681095,0.2221262437214064
E07000028,107524,0.31429262304229755,0.9541497712138686,0.6909713180313233,0.9492950411071017,0.28300658457646666,0.30998660764108477,0.1993694431010751,0.23262601654721132,0.24682470729386455,0.672012473549393,0.21463043397557263
E07000029,70603,0.2961772162655978,0.9754401371046556,0.7887341897653074,0.9629760775037888,0.2906108805574834,0.3083013469682591,0.2172145659532881,0.2184105913253354,0.23392061828661254,0.763430725730443,0.23322489434799792
E07000030,52564,0.26598051898637853,0.9730614108515334,0.7070428430104254,0.964500418537402,0.2942127691956472,0.3133132942698425,0.18156913476904346,0.2863214378991856,0.13934817515080503,0.6597356250682787,0.24653144459415172
E07000031,103658,0.256342974010689,0.9593470836790214,0.6805166991452661,0.9631962800748616,0.28766713615929307,0.32991182542591985,0.18148141002141657,0.34715535845566436,0.1534198315861832,0.6502748103421583,0.2971241678278371
E07000032,122309,0.30219362434489694,0.9681707805639814,0.6118437727395367,0.9622104669321145,0.29525218912753765,0.3204179577954198,0.21002542740109068,0.24080950612699592,0.19220092782721118,0.7776393122379213,0.2557383674912851
E07000033,75866,0.31628133814884135,0.96561041836923,0.6517675902248702,0.9559354651622598,0.2942688424327103,0.29070993593968314,0.25715076582395274,0.16588938462833572,0.2335904393158745,0.8005853206224103,0.20483324157514995
E07000034,103788,0.3121844529232667,0.9523451651443327,0.6375977955062242,0.957191582841947,0.2857652137048599,0.2861891548155856,0.23983504836782674,0.21886783272921886,0.2709205915035473,0.7346193190121292,0.23650863238763284
E07000035,71116,0.2496484616682603,0.9724393947916081,0.687173069351482,0.9703442263344395,0.2931829686709039,0.31635637549918444,0.18204060970808256,0.346973437691513,0.148224043715847,0.7138123125267819,0.33160977003285247
E07000036,112081,0.321169511335552,0.9568704776010207,0.5780105459444509,0.9564689822539056,0.2911733478466466,0.31702072608202997,0.20579759281234108,0.2153161518253465,0.22391768668364412,0.7376529142586279,0.23633115166542087
E07000037,90892,0.300279452537077,0.9651784535492672,0.6410245126083703,0.9615367689125556,0.28382035822734675,0.3112265105839898,0.1840315979404128,0.30467227265133373,0.1959636419657988,0.6872725678460256,0.2915515805164628
E07000038,99023,0.2812073962614746,0.9718146289245932,0.6743180877169951,0.9672298354927643,0.2988800581683043,0.31001888450158044,0.22784605596679558,0.23048887771773283,0.1867192941722777,0.7941226684877716,0.25389474582782023
E07000039,94611,0.3253215799431356,0.9439811438416252,0.6396930589466341,0.9555442813203538,0.2884865396201287,0.3122998382851888,0.1795351491898405,0.2695075239398085,0.13461735740664751,0.8162928622144259,0.28231633462807504
E07000040,132457,0.23608416316238479,0.9666155809055014,0.6563186543557532,0.9674158406124251,0.2915059226767932,0.3367281457378621,0.2018541866417026,0.303957522652408,0.15928289685293967,0.6832309541296655,0.2747713160178941
E07000041,117773,0.3921442096235979,0.8885058544827762,0.5390539427542815,0.9289395701901115,0.24581185840557682,0.2539886051981354,0.16724546373107588,0.3007217492054381,0.2705617156086268,0.5409090113582666,0.27567860830606067
E07000042,77750,0.27538263665594853,0.9624694533762058,0.6208745980707395,0.9535434083601286,0.290572347266881,0.29493247588424437,0.1792025723472669,0.2757232870385643,0.14335429513401307,0.7025033759218864,0.2578684948582113
E07000043,93667,0.27307376130334055,0.9624307386806452,0.6130867861680207,0.9591638463920057,0.2847534350411564,0.2952373834968559,0.19774306853000523,0.23939839879031713,0.19022024449388766,0.6285471689681369,0.2481342449836886
E07000044,83140,0.23874188116430117,0.9628578301659851,0.6156001924464758,0.9687996151070484,0.2888501323069521,0.3228289631946115,0.18224681260524417,0.3558785500913995,0.13348526778447012,0.6777169429235731,0.32723318082952074
E07000045,124220,0.2582756399935598,0.9658589599098374,0.6221944936403155,0.9642247625181131,0.2866929640959588,0.3234020286588311,0.2017308001932056,0.29191777927578955,0.1606021887672907,0.7264000542722432,0.28526847800278143
E07000046,63839,0.2531681260671376,0.9742633813186297,0.6282993154654678,0.9644574633061295,0.29340998449223826,0.3163426745406413,0.21632544369429346,0.22615062351950824,0.1626884871006932,0.6812801850214271,0.217672267192708
E07000047,53553,0.2497712546449312,0.9679383041099472,0.6363602412563255,0.9652867253001699,0.2883498590181689,0.3132971075383265,0.19416279200044814,0.3131787290688713,0.12858085808580857,0.6755279109385524,0.29238144289053525
E07000048,47752,0.23913134528396715,0.957300217791925,0.6713226671134194,0.9657605964148098,0.28222901658569277,0.3381847880717038,0.21848299547662925,0.26353846954169485,0.17895227008149012,0.7308506970099995,0.2886064725875573
