PCON18CD,FID,Total_Population,young_adults,white,christian,english_speaking,single_ethnicity_household,own_home,not_good_health,degree_educated,no_car,private_transport_to_work,professionals
E14001019,5846.25,137648.0,0.36178513309310717,0.8491587237010344,0.5825366151342556,0.9353277926304777,0.25044315936301287,0.2878429036382658,0.15451005463210507,0.40307112316675114,0.18487022614563978,0.701672221583726,0.3773991495230433
E14001020,870.125,275506.0,0.3248858464062488,0.9503132418168753,0.7028594658555531,0.9523785325909416,0.28687941460440064,0.2610396869759643,0.2453086321169049,0.18939685506927642,0.3514921758880409,0.6916410859922147,0.19850054727555527
E14001021,6515.882352941177,89423.35294117648,0.3753316344599036,0.6930570348330937,0.5584484528062523,0.8990476893436243,0.228486394395736,0.26671181682454775,0.15107159633612108,0.35029657741811954,0.19801146351300095,0.605138088562294,0.32142749322857656
E14001022,3707.7894736842104,115254.0,0.27181703021153286,0.9612855085289882,0.6067988963506691,0.9582834435247364,0.2883804466656255,0.3080587224738404,0.22633487774827774,0.18766714724365258,0.21897293791639647,0.711148614302271,0.21270409304406174
E14001023,2277.92,148915.0,0.25131786589665245,0.9446865661619047,0.6400765537387102,0.9624752375516232,0.2798039149850586,0.334808447772219,0.17485814054997825,0.3012540894220282,0.12446550513753266,0.7106099825558495,0.3113077485791456
E14001024,3267.6875,253159.75,0.3168779607805846,0.9594909958981749,0.719522655122715,0.9557483430875026,0.2833899183498276,0.29362811611084877,0.1970297126316658,0.25956500232114565,0.21735029165828465,0.7510033229383232,0.26158300223735875
E14001025,6364.4,79919.6,0.31489538605828005,0.8688995349336912,0.5913253132750085,0.927225721287635,0.27391652768761054,0.2919109354503302,0.18458666511893665,0.23217711076239067,0.1800532401933857,0.7859061387133939,0.2484581633206198
E14001026,3977.296296296296,110852.03703703704,0.2757918976650028,0.9505727618313023,0.6273698184117339,0.9537933628363257,0.2797899192734865,0.3018276576358502,0.1879895205759502,0.2728892051375978,0.1544048339475642,0.7196706865985404,0.26489094766297017
E14001028,728.875,250765.25,0.31442355232460534,0.9323258342649683,0.6698249126840884,0.9432730500860471,0.2888797330426214,0.27728837394249345,0.23347869849799882,0.18196389690650774,0.2664303393659917,0.7666170296073068,0.21481722326279126
E14001029,995.2857142857143,308063.0,0.3528239353638703,0.6650165712857435,0.5520786332665722,0.8727468082827217,0.24192454140873784,0.2266938905353775,0.23306920986940982,0.1657394725923811,0.3390755403381126,0.6772603591697115,0.18523672549172043
E14001030,1002.5714285714286,308063.0,0.3528239353638703,0.6650165712857435,0.5520786332665722,0.8727468082827217,0.24192454140873784,0.2266938905353775,0.23306920986940982,0.1657394725923811,0.3390755403381126,0.6772603591697115,0.18523672549172043
E14001031,6472.541666666667,99264.0,0.2328638781431334,0.9621917311411995,0.6527341231463574,0.9676922147001933,0.2862870728562219,0.3142428272082529,0.19698984526112184,0.3199536714157618,0.15682872977966025,0.6615697598109986,0.29470184188651166
E14001032,250.2,307984.0,0.48582069198399924,0.17432074393474986,0.39975777962491554,0.7077900150657177,0.16061873344069824,0.11568133409527767,0.16937892877552077,0.35772280731484857,0.5205823540421005,0.22496866836788615,0.22091443067027045
E14001033,2918.3809523809523,110685.0,0.2923883091656503,0.9609161132944843,0.7619550978000634,0.9552423544292359,0.28566653114694857,0.3016939964764873,0.19681076930026645,0.2643192056633262,0.1977259205394328,0.748578171547955,0.2812318644330096
E14001034,3817.344827586207,86261.79310344828,0.3487491100691447,0.8526487904375758,0.6310178455187344,0.9329911401195763,0.26557300705524073,0.26183867911440784,0.16694481089236807,0.24066580964351858,0.15843048687306166,0.750645556362215,0.2317466065337929
E14001035,4134.888888888889,82466.74074074074,0.2471813025916107,0.9541550286879483,0.6828383413208461,0.9621580504583351,0.2876509839024712,0.31289832393948946,0.1911513196068265,0.3435873744199199,0.13340349978588875,0.7443942645691807,0.33394768218502663
E14001036,684.4,219396.0,0.497283450928914,0.3750934383489216,0.44612025743404626,0.823524585680687,0.1532480081678791,0.15119692245984434,0.15853069335812872,0.5755542894251563,0.6290038951707446,0.11421221633581882,0.4653396774570737
E14001037,7855.933333333333,103658.0,0.256342974010689,0.9593470836790217,0.6805166991452664,0.9631962800748614,0.2876671361592931,0.3299118254259198,0.18148141002141657,0.34715535845566425,0.15341983158618316,0.6502748103421581,0.2971241678278371
E14001038,6247.466666666666,202566.0,0.2870175646455969,0.9461903774572241,0.6098999832153471,0.951862602805999,0.28215988862889135,0.3204239605856856,0.18921240484582796,0.2956080762632514,0.1717274757160507,0.7473734920000409,0.2942201449319927
E14001039,478.125,317849.0,0.33222064565249537,0.9595059289159318,0.7778001503858751,0.9515021283691312,0.2897759627999459,0.2922456889906843,0.21907257848852751,0.20317012180366215,0.24640358981127092,0.7689249406302531,0.22371721322411078
